columns wrong,romance language?,total questions,51,total responses,249,Are you Hispanic or are you fluent in Spanish? ,"What are your fluency levels in other languages? Example response: English (fluent), Spanish (fluent), French (basic reading + writing)"
2,TRUE,,,,,"took 4 years high school spanish, but wouldn't say fluent","English(fluent), Chinese(fluent speaking+basic reading)"
3,TRUE,,,,,"Not fluent, grew up around Spanish speakers",English (fluent)
0,TRUE,,,,,No,"English (fluent), Mandarin (fluent), Spanish (basic reading + writing)"
0,FALSE,,,,,No,Basic reading writing speaking in Chinese 
1,FALSE,,,,,No,
4,TRUE,,,,,"Not fluent, grew up around Spanish speakers","English (fluent), Spanish (basic listening, reading, and writing), Japanese (basic listening"
2,FALSE,,,,,No,"English (fluent), Tamil (fluent)"
1,TRUE,,,,,No,French(basic vocabulary +reading/writing) English(fluent)
1,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), Gaelic (basic reading, writing, speaking), French and German (basic reading)"
2,FALSE,,,,,No,Chinese (fluent)
2,TRUE,,,,,No,"English (fluent), Khmer (intermediate speaking), Spanish (basic reading + writing)"
1,TRUE,,,,,Yes,"English (fluent), French (fluent)"
3,FALSE,,,,,No,English (fluent)
0,FALSE,,,,,No,"English (fluent), Mandarin (fluent)"
1,TRUE,,,,,No,"English (fluent), French (fluent), German (fluent), Italian (basic reading/writing/listening/speaking), Hungarian (basic reading/writing/listening/speaking)"
0,TRUE,,,,,No,"English (fluent), Mandarin (proficient speaking), French (basic reading, writing, speaking)"
0,FALSE,,,,,No,English fluent
0,TRUE,,,,,grew up around one spanish speaker (grandma) but otherwise no,"English (fluent), Spanish (basic speaking/listening, reading/writing at the spanish 4 level)"
0,TRUE,,,,,Yes,"English and Spanish fluent, German basic/intermediate"
0,FALSE,,,,,No,"English (fluent), Mandarin (fluent) "
1,TRUE,,,,,No,"Spanish, beginner"
1,TRUE,,,,,No,"Fluent in English
Intermediate Spanish "
1,FALSE,,,,,No,"English (native), Marathi (native), Hindi (fluent)"
2,FALSE,,,,,No,English (fluent)
0,FALSE,,,,,No,"English (fluent), Mandarin (fluent), German (intermediate)"
4,FALSE,,,,,No,"English (fluent), Chinese (up to Chinese IIIish much better reading than speaking), Korean (up to like Korean II)"
2,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), Italian (basic comprehension)"
1,TRUE,,,,,No,"English(fluent), French(intermediate/advanced)"
0,FALSE,,,,,No,"English(fluent), Chinese(fluent)"
2,FALSE,,,,,No,"English(fluent), Bengali (fluent), Hindi (Speaking)"
3,TRUE,,,,,No,"english (fluent) , spanish (intermediate) , italian (basic)"
0,TRUE,,,,,Yes,"English (fluent), Spanish(fluent), Mandarin (intermediate)"
1,FALSE,,,,,No,English(fluent)
1,TRUE,,,,,No,Italian (fluent)
1,TRUE,,,,,No,"english (fluent), mandarin chinese (semi fluent), spanish (basic reading + writing)"
2,FALSE,,,,,No,
4,FALSE,,,,,No,"English (fluent), Mandarin Chinese (basic speaking + reading + writing)"
0,FALSE,,,,,No,English
3,TRUE,,,,,Yes,"English fluent, Spanish fluent, french intermediate "
2,TRUE,,,,,No,"english (fluent), mandarin (fluent), spanish (basic speaking/listening, somewhat above basic reading/writing)"
0,FALSE,,,,,No,"English (fluent), Russian (fluent), Armenian (native), German(basic)"
1,FALSE,,,,,No,"English (fluent), Chinese (basic reading + writing)"
3,TRUE,,,,,Yes,None
2,TRUE,,,,,Barely accquainted with spanish after being around spanish speakers and 1.5 years in high school,"English (fluent), Chinese (basic r+w)"
1,FALSE,,,,,No,English (fluent)
5,TRUE,,,,,No,"English (fluent), French (basic reading + writing), Chinese (speaking + listening)"
1,TRUE,,,,,No,"English (fluent), Spanish (basic reading + writing), French (basic reading + writing)"
4,TRUE,,,,,Yes,"Spanish (fluent, first language), English (fluent)"
1,FALSE,,,,,No,Cantonese (sufficient)
0,TRUE,,,,,No,"spanish (conversational), french (basic reading and writing)"
5,TRUE,,,,,"Not fluent, grew up around Spanish speakers","English (fluent), Spanish (decent comprehension and reading, limited speaking)"
1,FALSE,,,,,No,"english (fluent), mandarin (fluent)"
0,FALSE,,,,,No,"English: Fluent
Greek: not fluent, but grew up around speakers"
2,TRUE,,,,,No,"English (fluent), French (basic reading + writing)"
1,TRUE,,,,,No,"English (fluent), Mandarin (fluent), Spanish (basic reading + writing), Korean (basic reading writing and speaking)"
3,FALSE,,,,,No,"English (fluent), Chinese (native), Japanese (intermediate)"
1,TRUE,,,,,No,English (fluent) French (basic)
2,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), French (basic reading + writing) exactly as the example lol"
0,FALSE,,,,,No,english
0,TRUE,,,,,"Not fluent, grew up around Spanish speakers",English (fluent) + Spanish (proficient) + Yoruba (intermediate speaking)
1,TRUE,,,,,No,"English (fluent), French (basic reading)"
1,FALSE,,,,,No,"English (fluent), Mandarin (good listening/reading, basic writing/speaking)"
2,TRUE,,,,,No,"Spanish (not fluent but like above proficient), Tamil (basic reading + writing, grew up around), Latin (reading), Hindi (basic)"
0,FALSE,,,,,No,English (fluent)
0,TRUE,,,,,No,"English (fluent), Chinese (everyday speaking, basic reading), Spanish (basic reading & writing)"
2,TRUE,,,,,Yes,"English (fluent), Spanish (fluent)"
1,TRUE,,,,,No,"English (fluent), Telugu (intermediate reading + writing, basic conversation), French (basic reading + writing)"
1,TRUE,,,,,Yes,"English (fluent), Spanish (proficient)"
4,TRUE,,,,,No,"Russian (fluent), Kazakh (school level), Spanish (half forgotten 21G.701 from last semester)"
2,FALSE,,,,,No,"English (Fluent), Serbo-Croatian (fluent), German (proficient)"
2,TRUE,,,,,"Not fluent, grew up around Spanish speakers",English (fluent)
1,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), Mandarin (fluent), Japanese (basic reading + writing)"
0,TRUE,,,,,No,"English (fluent), French (basic), Malay (basic)"
1,TRUE,,,,,"Not Hispanic, somewhat fluent in Spanish (5 years studied, incl in college)","English (fluent), Spanish (good speaking, listening reading, mid writing?), Telugu (conversational fluent, beginner reading/writing)"
1,TRUE,,,,,No,"English (fluent), Spanish (basic reading + writing), Mandarin (basic reading, writing, speaking)"
2,FALSE,,,,,No,Chinese (speaking/listening)
0,TRUE,,,,,Studying Spanish,"Basic Japanese, Intermediate Spanish"
0,TRUE,,,,,No,"English (fluent)
learned Spanish throughout school (12 years)"
1,TRUE,,,,,No,spanish (basic reading/writing) farsi (basic speaking)
1,FALSE,,,,,No,"English (fluent reading + writing, intermediate speaking), Thai (fluent)"
0,FALSE,,,,,No,
2,FALSE,,,,,No,Japanese (conversational)
1,FALSE,,,,,No,"English fluent, korean basic reading + writing"
1,TRUE,,,,,No,"English (fluent), French (literally the most basic French)"
0,TRUE,,,,,No,"English and French (fluent), Spanish (ok) , some Italian and German (basic)"
0,FALSE,,,,,No,English (fluent)
1,FALSE,,,,,No,
1,TRUE,,,,,No,"english fluent, french and russian conversational"
0,TRUE,,,,,I know some Spanish but I wouldn't say I'm fluent,"English (native), Korean (fluent), Spanish (basic)"
1,FALSE,,,,,No,"English (fluent), Cantonese (conversational), Mandarin (basic)"
0,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), French (basic), Chinese (basic speaking+listening and very basic reading + writing)"
3,TRUE,,,,,Yes,English (fluent) Spanish (fluent)
0,FALSE,,,,,No,"English (fluent), Hebrew (basic reading + writing)"
1,TRUE,,,,,No,English (fluent) Hindi (speaking) Mandarin (basic speaking) French (basic reading + writing)
0,TRUE,,,,,No,French (basic reading + writing + speaking)
0,TRUE,,,,,No,"English (fluent), Chinese (fluent), French (basic reading + writing)"
3,TRUE,,,,,No,"English (fluent), Spanish (basic reading, writing, speaking)"
3,FALSE,,,,,No,Ukrainian (fluent)
1,TRUE,,,,,No,"English(native), French(basic, only French 1)"
3,FALSE,,,,,No,"English (fluent), German (basic reading+writing)"
0,TRUE,,,,,conversational,"english - fluent, polish - fluent"
4,FALSE,,,,,No,
0,FALSE,,,,,No,"English (fluent), Chinese (fluent but only spoken)"
3,FALSE,,,,,No,"English (fluent), Mongolian (fluent), Japanese (average)"
8,TRUE,,,,,No,Spanish (basic reading and writing)
0,TRUE,,,,,No,"English (fluent), Spanish (medium), Mandarin (medium)"
6,FALSE,,,,,No,"English (fluent), Chinese (basic speaking)"
1,FALSE,,,,,No,"English (fluent), Bengali (native), Korean (learner)"
0,TRUE,,,,,No,"English (fluent), Chinese (fluent), Spanish (basic written + oral communication), German (basic written + oral communication), French (elementary), Russian (elementary)"
0,FALSE,,,,,No,English (fluent)
7,TRUE,,,,,proficient Spanish ,"English (fluent), Chinese (fluent), Spanish (proficient), Japanese (basic)"
0,FALSE,,,,,No,"English (fluent), Mandarin (fluent)."
0,TRUE,,,,,No,"Spanish (near fluent), French (basic reading and writing)"
1,TRUE,,,,,No,"English: fluent, Yoruba: fluent, French: basic"
0,TRUE,,,,,Yes,"English (fluent), Spanish (Conversational, can understand, not speak well, can't read), French (basic reading + writing+speaking)
"
1,TRUE,,,,,took spanish for seven years in ms/hs but not fluent at all ,"english (fluent) 
spanish (basic reading & writing) 
tamil (basic speaking & understanding)
telugu (basic speaking & understanding)"
2,TRUE,,,,,No,"English (fluent), Ukrainian (native), Russian (native), German (intermediate), Spanish (beginner)"
2,FALSE,,,,,No,"English (fluent), Mandarin (conversant)"
6,FALSE,,,,,No,"English (fluent), Hebrew (fluent), Swedish (basic reading + writing)"
0,FALSE,,,,,No,English (fluent)
5,TRUE,,,,,Yes,English (fluent) portugués (basic reading + writing)
4,TRUE,,,,,No,"English (fluent), Italian (fluent), French (semi-fluent)"
0,TRUE,,,,,"Not fluent, grew up around Spanish speakers",French (5 on AP French) 
1,TRUE,,,,,Yes,"English (Fluent), Japanese (currently learning, at Japanese III)"
0,FALSE,,,,,No,"English (fluent), Latin (basic reading + writing)"
1,TRUE,,,,,Yes,"English (fluent), Hindi (fluent), Spanish (fluent), Urdu (fluent), Portuguese (basic reading + writing)"
0,TRUE,,,,,"Not fluent, grew up around Spanish speakers","English (fluent), Spanish (basic reading + writing)"
5,FALSE,,,,,No,English (fluent) 
1,FALSE,,,,,No,english fluent 
4,TRUE,,,,,Yes,"English (fluent), Spanish (fluent)"
1,TRUE,,,,,Yes,English (fluent)
0,TRUE,,,,,No,"English (fluent), Chinese (fluent), French (semi-fluent? DELF B2 certified)"
5,TRUE,,,,,No,"English (fluent)
Spanish (basic reading + writing)
Japanese (basic reading + writing)
Korean (basic reading + writing)"
0,FALSE,,,,,No,
1,TRUE,,,,,No,Spanish (basic reading and writing)
0,FALSE,,,,,No,English (fluent)
2,TRUE,,,,,No,"English (fluent), Spanish some exposure, ASL basics"
0,TRUE,,,,,No,"English (fluent), French (basic reading + writing), Japanese (read, write, speak)"
3,TRUE,,,,,"Not fluent, grew up around Spanish speakers","English (fluent), Spanish (intermediate),"
1,FALSE,,,,,No,English (fluent)
0,TRUE,,,,,"Not fluent, grew up around Spanish speakers",
2,TRUE,,,,,No,"English(fluent), Spanish(proficient), Polish(fluent)"
2,TRUE,,,,,Yes,"English (fluent), Spanish (fluent), French (reading + writing from highschool)"
4,TRUE,,,,,No,"English (fluent), Cantonese (conversational), Spanish (basic reading and writing)"
0,TRUE,,,,,No,"English (fluent), Spanish (basic), Japanese (conversational)"
0,FALSE,,,,,No,"English (fluent), Hindi (fluent)"
0,FALSE,,,,,No,English (fluent)
0,FALSE,,,,,No,
0,TRUE,,,,,No,"English (fluent), Tamil (fluent), French (fluent)"
0,TRUE,,,,,"I took 4 semesters of Spanish at MIT, Spanish 1-4. But I do not have any Hispanic-ness in me.","Turkish (Native), English (Fluent), Spanish (Intermediate), German (Very very very basic), Mandarin (Just know a few common phrases)"
0,FALSE,,,,,No,"English (fluent), Latin (basic reading + writing)"
0,FALSE,,,,,No,"English (fluent), Hindi (speaking, no reading or writing)"
0,TRUE,,,,,No,"English (fluent), Spanish (very basic)"
0,TRUE,,,,,I took Spanish in middle/high school,"English (native), Mandarin (currently in Chinese 5), Spanish (intermediate)"
0,TRUE,,,,,Yes,"English (fluent), Spanish (understand and read pretty well, struggle writing), Arabic (can read and write) "
0,TRUE,,,,,"Not fluent, grew up around Spanish speakers",french (intermediate)
0,FALSE,,,,,No,"English (fluent)
Chinese (bad)"
0,TRUE,,,,,Yes,English (fluent) Spanish (near fluent)
0,TRUE,,,,,No,"English (fluent), French (basic reading + writing)"
0,FALSE,,,,,No,"English (fluent), Turkmen (native), Russian (fluent), Turkish (read + basic writing + talk), Uzbek (talk)"
0,FALSE,,,,,No,
0,TRUE,,,,,No,"English (fluent), Spanish (basic reading, writing, speaking), French (basic reading)"
0,FALSE,,,,,No,"Japanese: basic speaking reading writing
Thai: Fluent (native)"
0,TRUE,,,,,No,"Chinese, spanish: very basic speaking"
0,FALSE,,,,,No,English (fluent)
0,FALSE,,,,,No,
0,TRUE,,,,,No,"English (fluent), Spanish (basic reading + writing)"
0,TRUE,,,,,No,"French (basic reading + writing), Chinese (orally semi-fluent)"
0,TRUE,,,,,"I'm not fluent, but I can communicate if necessary.","English (fluent), Spanish (basic conversation, reading, and writing), Japanese (currently learning)"
0,FALSE,,,,,No,"English (fluent), German (intermediate)"
0,TRUE,,,,,No,"English (fluent), Spanish (basic reading + writing)"
0,FALSE,,,,,No,English(fluent)
0,TRUE,,,,,I had friends who would speak spanish,
0,TRUE,,,,,No,"English (fluent), Telugu (fluent), Spanish (basic speaking/reading), Hindi (basic speaking)"
0,FALSE,,,,,No,"Estonian (fluent), English (fluent), Russian (decent), Chinese (beginner), German (some words and phrases)"
0,TRUE,,,,,No,"English (fluent), spanish(kinda bad, American high school level)"
0,TRUE,,,,,No,"French: basic speaking/working understanding/working reading/working writing,  Malayalam: almost fluent speaking/fluent understanding/working reading/working writing
English: fluent in all"
0,FALSE,,,,,No,english (fluent) Chinese (fluent)
0,FALSE,,,,,No,English(fluent)
